"zentriert","bilderrahmen-fixed src","hauptlink","hauptlink href","flaggenrahmen src","inline-table href","tiny_wappen src","hauptlink 2","flaggenrahmen src 2","inline-table 2","inline-table href 2","rechts","rechts href"
"31","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Andrea Romagnoli","https://www.transfermarkt.us/andrea-romagnoli/profil/spieler/391406","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","https://www.transfermarkt.us/spartak-2-moskau/startseite/verein/40280/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/40280.png?lm=1645543288","Spartak 2","https://tmssl.akamaized.net/images/flagge/verysmall/141.png?lm=1520611569","FNL","https://www.transfermarkt.us/1-division/transfers/wettbewerb/RU2/saison_id/2019","€3.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/391406/transfer_id/2525017"
"32","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Bailey Peacock-Farrell","https://www.transfermarkt.us/bailey-peacock-farrell/profil/spieler/410436","https://tmssl.akamaized.net/images/flagge/verysmall/192.png?lm=1520611569","https://www.transfermarkt.us/fc-burnley/startseite/verein/1132/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1132.png?lm=1587809239","Burnley","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Premier League","https://www.transfermarkt.us/premier-league/transfers/wettbewerb/GB1/saison_id/2019","€2.75m","https://www.transfermarkt.us/jumplist/transfers/spieler/410436/transfer_id/2586668"
"33","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Zixuan Li","https://www.transfermarkt.us/zixuan-li/profil/spieler/822213","https://tmssl.akamaized.net/images/flagge/verysmall/34.png?lm=1520611569","https://www.transfermarkt.us/shenzhen-fc-reserves/startseite/verein/29145/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/29145.png?lm=1489271279","SZ FC Res.","https://tmssl.akamaized.net/images/flagge/verysmall/34.png?lm=1520611569","China","","€2.53m","https://www.transfermarkt.us/jumplist/transfers/spieler/822213/transfer_id/3094661"
"34","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","José Sá","https://www.transfermarkt.us/jose-sa/profil/spieler/249994","https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569","https://www.transfermarkt.us/olympiakos-piraus/startseite/verein/683/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/683.png?lm=1447787802","Olympiacos","https://tmssl.akamaized.net/images/flagge/verysmall/56.png?lm=1520611569","Super League 1","https://www.transfermarkt.us/super-league-1/transfers/wettbewerb/GR1/saison_id/2019","€2.50m","https://www.transfermarkt.us/jumplist/transfers/spieler/249994/transfer_id/2476623"
"35","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Hendrik Van Crombrugge","https://www.transfermarkt.us/hendrik-van-crombrugge/profil/spieler/137326","https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569","https://www.transfermarkt.us/rsc-anderlecht/startseite/verein/58/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/58.png?lm=1443857722","RSC Anderlecht","https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569","Jupiler Pro League","https://www.transfermarkt.us/jupiler-pro-league/transfers/wettbewerb/BE1/saison_id/2019","€2.25m","https://www.transfermarkt.us/jumplist/transfers/spieler/137326/transfer_id/2585219"
"36","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Daniel Bentley","https://www.transfermarkt.us/daniel-bentley/profil/spieler/136401","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","https://www.transfermarkt.us/bristol-city/startseite/verein/698/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/698.png?lm=1571314125","Bristol City","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Championship","https://www.transfermarkt.us/championship/transfers/wettbewerb/GB2/saison_id/2019","€2.20m","https://www.transfermarkt.us/jumplist/transfers/spieler/136401/transfer_id/2528683"
"37","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Brice Samba","https://www.transfermarkt.us/brice-samba/profil/spieler/191056","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","https://www.transfermarkt.us/nottingham-forest/startseite/verein/703/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/703.png?lm=1598890289","Nottm Forest","https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569","Championship","https://www.transfermarkt.us/championship/transfers/wettbewerb/GB2/saison_id/2019","€2.10m","https://www.transfermarkt.us/jumplist/transfers/spieler/191056/transfer_id/2595760"
"38","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Alphonse Areola","https://www.transfermarkt.us/alphonse-areola/profil/spieler/120629","https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569","https://www.transfermarkt.us/real-madrid/startseite/verein/418/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/418.png?lm=1580722449","Real Madrid","https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569","LaLiga","https://www.transfermarkt.us/laliga/transfers/wettbewerb/ES1/saison_id/2019","Loan fee:","https://www.transfermarkt.us/jumplist/transfers/spieler/120629/transfer_id/2631341"
"39","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Guglielmo Vicario","https://www.transfermarkt.us/guglielmo-vicario/profil/spieler/286047","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","https://www.transfermarkt.us/cagliari-calcio/startseite/verein/1390/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/1390.png?lm=1626441409","Cagliari Calcio","https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569","Serie A","https://www.transfermarkt.us/serie-a/transfers/wettbewerb/IT1/saison_id/2019","€2.00m","https://www.transfermarkt.us/jumplist/transfers/spieler/286047/transfer_id/2560933"
"40","data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==","Mohamed Awad","https://www.transfermarkt.us/mohamed-awad/profil/spieler/184818","https://tmssl.akamaized.net/images/flagge/verysmall/2.png?lm=1520611569","https://www.transfermarkt.us/zamalek-sc/startseite/verein/664/saison_id/2019","https://tmssl.akamaized.net/images/wappen/tiny/664.png?lm=1415485832","Zamalek","https://tmssl.akamaized.net/images/flagge/verysmall/2.png?lm=1520611569","Premier League","https://www.transfermarkt.us/egyptian-premier-league/transfers/wettbewerb/EGY1/saison_id/2019","€1.90m","https://www.transfermarkt.us/jumplist/transfers/spieler/184818/transfer_id/2583962"
