"club","name","transfer_fee","Position","league","detailed_position","Squad","AVGage","Foreigners","TotalPlayerValue","League.x","Pos","GP","W","D","L","GR","GD","Points"
"Getafe CF","Enric Gallego","€6.00m","Forward","LaLiga","Centre-Forward",28,27.3,13,"€132.20m","LaLiga",5,38,15,14,9,"48:35",13,59
"Hertha BSC","Krzysztof Piatek","€24.00m","Forward","Bundesliga","Centre-Forward",36,24.4,19,"€207.63m","Bundesliga",11,34,11,10,13,"49:57",-8,43
"Hertha BSC","Matheus Cunha","€18.00m","Forward","Bundesliga","Centre-Forward",36,24.4,19,"€207.63m","Bundesliga",11,34,11,10,13,"49:57",-8,43
"Hertha BSC","Dodi Luk'ebakio","€20.00m","Forward","Bundesliga","Right Winger",36,24.4,19,"€207.63m","Bundesliga",11,34,11,10,13,"49:57",-8,43
"Huddersfield Town","Isaac Mbenza","€12.50m","Forward","Championship","Right Winger",33,25.3,21,"€137.45m","Premier League",20,38,3,7,28,"22:76",-54,16
"Inter Milan","Romelu Lukaku","€74.00m","Forward","Serie A","Centre-Forward",60,24,30,"€617.93m","Serie A",4,38,20,9,9,"57:33",24,69
"Inter Milan","Romelu Lukaku","€74.00m","Forward","Serie A","Centre-Forward",60,24,30,"€617.93m","Serie A",12,38,11,10,17,"39:53",-14,43
"Inter Milan","Matteo Politano","€21.10m","Forward","Serie A","Right Winger",60,24,30,"€617.93m","Serie A",4,38,20,9,9,"57:33",24,69
"Inter Milan","Matteo Politano","€21.10m","Forward","Serie A","Right Winger",60,24,30,"€617.93m","Serie A",12,38,11,10,17,"39:53",-14,43
"Inter Milan","Eddie Salcedo","€10.00m","Forward","Serie A","Centre-Forward",60,24,30,"€617.93m","Serie A",4,38,20,9,9,"57:33",24,69
"Inter Milan","Eddie Salcedo","€10.00m","Forward","Serie A","Centre-Forward",60,24,30,"€617.93m","Serie A",12,38,11,10,17,"39:53",-14,43
"Juventus","Luca Zanimacchia","€4.10m","Forward","Serie C-A","Right Winger",59,25,25,"€871.05m","Serie A",1,38,28,6,4,"70:30",40,90
"Juventus","Alejandro Marqu'es","€8.20m","Forward","Serie C-A","Centre-Forward",59,25,25,"€871.05m","Serie A",1,38,28,6,4,"70:30",40,90
"Juventus","Kwang-song Han","€3.50m","Forward","Serie C-A","Centre-Forward",59,25,25,"€871.05m","Serie A",1,38,28,6,4,"70:30",40,90
"Juventus","Giacomo Vrioni","€4.10m","Forward","Serie C-A","Centre-Forward",59,25,25,"€871.05m","Serie A",1,38,28,6,4,"70:30",40,90
"Juventus","Dejan Kulusevski","€35.00m","Forward","Serie A","Right Winger",59,25,25,"€871.05m","Serie A",1,38,28,6,4,"70:30",40,90
"Leicester City","Ayoze P'erez","€33.40m","Forward","Premier League","Second Striker",37,26.4,26,"€434.10m","Premier League",9,38,15,7,16,"51:48",3,52
"Liverpool","Takumi Minamino","€8.50m","Forward","Premier League","Left Winger",39,24.7,25,"€1.17bn","Premier League",2,38,30,7,1,"89:22",67,97
"Manchester United","Odion Ighalo","Loan fee:","Forward","Premier League","Centre-Forward",36,25.3,22,"€797.60m","Premier League",6,38,19,9,10,"65:54",11,66
"Manchester United","Daniel James","€17.80m","Forward","Premier League","Right Winger",36,25.3,22,"€797.60m","Premier League",6,38,19,9,10,"65:54",11,66
"Newcastle United","Allan Saint-Maximin","€18.00m","Forward","Premier League","Left Winger",37,26,23,"€244.65m","Premier League",13,38,12,9,17,"42:48",-6,45
"PSV Eindhoven","Ritsu Doan","€7.50m","Forward","Eredivisie","Right Winger",41,22.9,21,"€237.85m","Eredivisie",2,34,26,5,3,"98:26",72,83
"PSV Eindhoven","Bruma","€12.00m","Forward","Eredivisie","Left Winger",41,22.9,21,"€237.85m","Eredivisie",2,34,26,5,3,"98:26",72,83
"Racing Club","Nicol'as Reniero","€3.25m","Forward","Superliga","Centre-Forward",50,24.6,9,"€70.65m","ProfessionalFootballLeague",1,30,20,5,5,"57:26",31,65
"RB Leipzig","Ademola Lookman","€18.00m","Forward","Bundesliga","Second Striker",34,22.6,22,"€479.00m","Bundesliga",3,34,19,9,6,"63:29",34,66
"RB Leipzig","Patrik Schick","Loan fee:","Forward","Bundesliga","Centre-Forward",34,22.6,22,"€479.00m","Bundesliga",3,34,19,9,6,"63:29",34,66
"RB Leipzig","Christopher Nkunku","€13.00m","Forward","Bundesliga","Second Striker",34,22.6,22,"€479.00m","Bundesliga",3,34,19,9,6,"63:29",34,66
"RB Leipzig","Hannes Wolf","€12.00m","Forward","Bundesliga","Left Winger",34,22.6,22,"€479.00m","Bundesliga",3,34,19,9,6,"63:29",34,66
"Real Madrid","Eden Hazard","€115.00m","Forward","LaLiga","Left Winger",36,24.7,15,"€896.10m","LaLiga",16,38,10,11,17,"32:51",-19,41
"Real Madrid","Eden Hazard","€115.00m","Forward","LaLiga","Left Winger",36,24.7,15,"€896.10m","LaLiga",3,38,21,5,12,"63:46",17,68
"Real Madrid","Eden Hazard","€115.00m","Forward","LaLiga","Left Winger",36,24.7,15,"€896.10m","LaLiga",9,38,13,11,14,"45:46",-1,50
"Real Madrid","Luka Jovi'c","€63.00m","Forward","LaLiga","Centre-Forward",36,24.7,15,"€896.10m","LaLiga",16,38,10,11,17,"32:51",-19,41
"Real Madrid","Luka Jovi'c","€63.00m","Forward","LaLiga","Centre-Forward",36,24.7,15,"€896.10m","LaLiga",3,38,21,5,12,"63:46",17,68
"Real Madrid","Luka Jovi'c","€63.00m","Forward","LaLiga","Centre-Forward",36,24.7,15,"€896.10m","LaLiga",9,38,13,11,14,"45:46",-1,50
